review,sentiment
"I found this move beautiful, enjoyable, and uplifting.  ",1
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1
The story is beyond stupid.  ,0
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0
This is high adventure at its best.  ,1
"Yeah, the movie pretty much sucked.  ",0
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0
This scene is very strong and unpleasant.  ,0
But this understated film leaves a lasting impression.  ,1
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0
"This movie creates its own universe, and is fascinating in every way.  ",1
Meredith M was better than all right.  ,1
Go watch it!  ,1
All the characters in this film are tremendously well played.  ,1
Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
I love the Scream movies and all horror movies and this one ranks way up there.  ,1
So bad...well...it's just bad.  ,0
If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ,0
"A very good film indeed, about great and unconditional love.  ",1
Avoid at all costs.  ,0
This is a stunning movie.  ,1
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
I thought it was bad.  ,0
The stories were as unbelievable as the actors.  ,0
"She is as lovely as usual, this cutie!  ",1
"If this premise sound stupid, that's because it is.  ",0
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
"Their on-screen chemistry, critical to the entire film, is genuine.  ",1
